range4
Times - build: 2.538029, query: 4.026818, total elapsed 6.564847
Times - build: 2.544753, query: 3.988856, total elapsed 6.523572
Times - build: 2.542686, query: 3.982541, total elapsed 6.518681
Times - build: 2.542981, query: 3.981989, total elapsed 6.523318
Times - build: 2.539515, query: 4.007186, total elapsed 6.543714
Times - build: 2.544828, query: 4.018569, total elapsed 6.558651
Times - build: 2.541943, query: 4.023351, total elapsed 6.565293
Times - build: 2.542493, query: 3.984536, total elapsed 6.521908
Times - build: 2.541506, query: 4.041665, total elapsed 6.578025
Times - build: 2.546917, query: 3.984720, total elapsed 6.524576
range8
Times - build: 2.636259, query: 2.104839, total elapsed 4.741098
Times - build: 2.646851, query: 2.108469, total elapsed 4.752543
Times - build: 2.636949, query: 2.104701, total elapsed 4.731961
Times - build: 2.646529, query: 2.113332, total elapsed 4.752479
Times - build: 2.629135, query: 2.105073, total elapsed 4.719939
Times - build: 2.641219, query: 2.107341, total elapsed 4.748560
Times - build: 2.637159, query: 2.104347, total elapsed 4.737476
Times - build: 2.642891, query: 2.107755, total elapsed 4.746327
Times - build: 2.634365, query: 2.103741, total elapsed 4.737582
Times - build: 2.641333, query: 2.115879, total elapsed 4.756106
range12
Times - build: 2.657910, query: 1.407690, total elapsed 4.055114
Times - build: 2.640397, query: 1.412473, total elapsed 4.051315
Times - build: 2.636721, query: 1.445210, total elapsed 4.071935
Times - build: 2.641321, query: 1.412510, total elapsed 4.049971
Times - build: 2.645357, query: 1.409155, total elapsed 4.054463
Times - build: 2.643798, query: 1.410744, total elapsed 4.049505
Times - build: 2.635843, query: 1.414285, total elapsed 4.042782
Times - build: 2.639081, query: 1.405496, total elapsed 4.044064
Times - build: 2.641113, query: 1.409663, total elapsed 4.039616
Times - build: 2.654596, query: 1.419212, total elapsed 4.073808
range16
Times - build: 2.675570, query: 1.067039, total elapsed 3.742609
Times - build: 2.675776, query: 1.066969, total elapsed 3.736404
Times - build: 2.673906, query: 1.068425, total elapsed 3.736061
Times - build: 2.671882, query: 1.099138, total elapsed 3.751070
Times - build: 2.681477, query: 1.065520, total elapsed 3.746998
Times - build: 2.665114, query: 1.067074, total elapsed 3.730680
Times - build: 2.680276, query: 1.067072, total elapsed 3.743090
Times - build: 2.674494, query: 1.069156, total elapsed 3.734985
Times - build: 2.671466, query: 1.067180, total elapsed 3.738542
Times - build: 2.701965, query: 1.081413, total elapsed 3.766298
range20
Times - build: 2.760748, query: 0.899342, total elapsed 3.638783
Times - build: 2.762506, query: 0.900868, total elapsed 3.652254
Times - build: 2.767230, query: 0.897784, total elapsed 3.643460
Times - build: 2.755311, query: 0.898112, total elapsed 3.636544
Times - build: 2.756242, query: 0.902863, total elapsed 3.645931
Times - build: 2.770603, query: 0.899849, total elapsed 3.670453
Times - build: 2.764280, query: 0.901096, total elapsed 3.644689
Times - build: 2.777356, query: 0.904759, total elapsed 3.671301
Times - build: 2.757134, query: 0.892598, total elapsed 3.649617
Times - build: 2.756029, query: 0.900710, total elapsed 3.639666
